1024, 1, 1, 9.333468, 2.170578
1024, 2, 1, 4.617613, 2.170578
1024, 3, 1, 3.087853, 2.170578
1024, 4, 1, 2.262303, 2.170578
1024, 5, 1, 1.850023, 2.170578
1024, 6, 1, 1.625323, 2.170578
1024, 7, 1, 1.456259, 2.170578
1024, 8, 1, 1.210168, 2.170578
1024, 9, 1, 1.202413, 2.170578
1024, 10, 1, 1.054575, 2.170578
2048, 1, 1, 9.110369, 1.616812
2048, 2, 1, 4.668221, 1.616812
2048, 3, 1, 3.353910, 1.616812
2048, 4, 1, 2.589564, 1.616812
2048, 5, 1, 2.069833, 1.616812
2048, 6, 1, 1.622688, 1.616812
2048, 7, 1, 1.491547, 1.616812
2048, 8, 1, 1.212728, 1.616812
2048, 9, 1, 1.182925, 1.616812
2048, 10, 1, 1.095007, 1.616812
2048, 11, 1, 0.985676, 1.616812
4096, 1, 1, 9.167902, 1.411412
4096, 2, 1, 4.472053, 1.411412
4096, 3, 1, 3.067473, 1.411412
4096, 4, 1, 2.248841, 1.411412
4096, 5, 1, 1.821586, 1.411412
4096, 6, 1, 1.520626, 1.411412
4096, 7, 1, 1.417162, 1.411412
4096, 8, 1, 1.140279, 1.411412
4096, 9, 1, 1.176379, 1.411412
4096, 10, 1, 1.101679, 1.411412
4096, 11, 1, 0.984785, 1.411412
4096, 12, 1, 1.004522, 1.411412
8192, 1, 1, 9.070548, 1.392338
8192, 2, 1, 4.405333, 1.392338
8192, 3, 1, 3.048997, 1.392338
8192, 4, 1, 2.220365, 1.392338
8192, 5, 1, 1.814841, 1.392338
8192, 6, 1, 1.546990, 1.392338
8192, 7, 1, 1.421895, 1.392338
8192, 8, 1, 1.193067, 1.392338
8192, 9, 1, 1.196557, 1.392338
8192, 10, 1, 1.145563, 1.392338
8192, 11, 1, 1.001882, 1.392338
8192, 12, 1, 1.054494, 1.392338
8192, 13, 1, 0.897766, 1.392338
16384, 1, 1, 9.104389, 1.407266
16384, 2, 1, 4.714020, 1.407266
16384, 3, 1, 3.234990, 1.407266
16384, 4, 1, 2.314555, 1.407266
16384, 5, 1, 1.977547, 1.407266
16384, 6, 1, 1.618426, 1.407266
16384, 7, 1, 1.505344, 1.407266
16384, 8, 1, 1.222058, 1.407266
16384, 9, 1, 1.312592, 1.407266
16384, 10, 1, 1.146824, 1.407266
16384, 11, 1, 1.081935, 1.407266
16384, 12, 1, 1.155330, 1.407266
16384, 13, 1, 1.047934, 1.407266
16384, 14, 1, 1.001083, 1.407266
32768, 1, 1, 9.800706, 1.544445
32768, 2, 1, 4.702861, 1.544445
32768, 3, 1, 3.315147, 1.544445
32768, 4, 1, 2.407864, 1.544445
32768, 5, 1, 1.962404, 1.544445
32768, 6, 1, 1.658236, 1.544445
32768, 7, 1, 1.507657, 1.544445
32768, 8, 1, 1.276992, 1.544445
32768, 9, 1, 1.325004, 1.544445
32768, 10, 1, 1.332596, 1.544445
32768, 11, 1, 1.074453, 1.544445
32768, 12, 1, 1.091131, 1.544445
32768, 13, 1, 1.018357, 1.544445
32768, 14, 1, 1.034876, 1.544445
32768, 15, 1, 1.015378, 1.544445
